date,upi_volume,upi_value
2020-06-01,476.9671,10413.108974581
2020-06-02,476.78182,9951.298586321
2020-06-03,456.2593,9622.37521347
2020-06-04,463.04959,9639.502868508
2020-06-05,464.79398,9539.524729484
2020-06-06,458.64927,9119.199541725
2020-06-07,427.25912,6874.997300074
2020-06-08,469.99287,10062.170486206
2020-06-09,466.98338,9786.85765725
2020-06-10,461.58058,9839.41028404
2020-06-11,449.65,9499.97
2020-06-12,453.42912,9288.433725751
2020-06-13,289.00253,4333.739248967
2020-06-14,435.87,7238.232876260001
2020-06-15,463.91469,9725.940723531
2020-06-16,469.24346,9361.873619612
2020-06-17,446.58304,9087.238502439
2020-06-18,433.31743,8793.3234418
2020-06-19,440.29209,8512.468178525
2020-06-20,437.74652,8280.129005688
2020-06-21,356.52732,4938.442783352
2020-06-22,459.5468,9375.196451475
2020-06-23,452.99435,8650.023156345998
2020-06-24,477.54,8942.45
2020-06-25,456.49271,8531.518240163
2020-06-26,455.45,8660.95
2020-06-27,436.26,7586.08
2020-06-28,397.91,5544.8
2020-06-29,430.17,8825.17
2020-06-30,505.09,11811.09
2020-07-01,515.18,11611.71
2020-07-02,481.96,10494.44
2020-07-03,507.41,10735.45
2020-07-04,498.77,10114.58
2020-07-05,432.52,7115.05
2020-07-06,503.34,10863.0
2020-07-07,496.02,10438.01
2020-07-08,509.11,10642.44
2020-07-09,485.14,10059.96
2020-07-10,451.5,9324.23
2020-07-11,500.95,9024.34
2020-07-12,434.05,6282.22
2020-07-13,518.52,10469.79
2020-07-14,519.6,10312.04
2020-07-15,499.18,10118.86
2020-07-16,479.81,9451.87
2020-07-17,472.6,9034.77
2020-07-18,462.3,8380.13
2020-07-19,410.87,5766.61
2020-07-20,461.25,8829.0
2020-07-21,437.49,8301.25
2020-07-22,496.81,9735.93
2020-07-23,470.34,8878.82
2020-07-24,483.32,9348.16
2020-07-25,466.6,7787.59
2020-07-26,414.17,5659.17
2020-07-27,501.87,9884.21
2020-07-28,497.54,9580.56
2020-07-29,488.78,9301.61
2020-07-30,525.93,10592.09
2020-07-31,550.61,12399.97
2020-08-01,554.43,10981.35
2020-08-02,501.86,8082.04
2020-08-03,508.98,9804.57
2020-08-04,526.55,11230.53
2020-08-05,492.26,10226.47
2020-08-06,459.74,9517.22
2020-08-07,504.21,10464.83
2020-08-08,538.93,9938.8
2020-08-09,440.12,6578.76
2020-08-10,511.87,10388.9
2020-08-11,578.27,11411.04
2020-08-12,558.47,10962.22
2020-08-13,539.19,10585.91
2020-08-14,539.34,10316.23
2020-08-15,489.26,7615.92
2020-08-16,460.73,6513.29
2020-08-17,491.93,9319.65
2020-08-18,492.12,8825.77
2020-08-19,543.21,10080.86
2020-08-20,556.27,10676.16
2020-08-21,548.43,9893.06
2020-08-22,498.88,7381.02
2020-08-23,468.13,6217.56
2020-08-24,551.02,10572.5
2020-08-25,561.84,10383.43
2020-08-26,552.49,10182.13
2020-08-27,544.74,10028.61
2020-08-28,549.31,10209.71
2020-08-29,545.21,9725.31
2020-08-30,493.79,6981.95
2020-08-31,586.69,13211.82
2020-09-01,651.97,13916.88
2020-09-02,638.42,13151.17
2020-09-03,625.8,12827.3
2020-09-04,621.85,12457.52
2020-09-05,624.89,12215.88
2020-09-06,567.97,8642.76
2020-09-07,634.74,13010.41
2020-09-08,662.23,12601.81
2020-09-09,571.75,11563.73
2020-09-10,646.68,12688.59
2020-09-11,624.04,11651.3
2020-09-12,609.7,10366.6
2020-09-13,474.74,6184.07
2020-09-14,631.44,12516.37
2020-09-15,623.6,11916.68
2020-09-16,628.73,11547.25
2020-09-17,402.75,7127.67
2020-09-18,637.88,11307.57
2020-09-19,614.3,10245.52
2020-09-20,454.37,5724.58
2020-09-21,636.98,11767.97
2020-09-22,622.35,11255.24
2020-09-23,607.23,10715.09
2020-09-24,601.18,10459.95
2020-09-25,604.82,10540.49
2020-09-26,501.38,7561.24
2020-09-27,592.81,7868.89
2020-09-28,631.77,11503.91
2020-09-29,599.96,11212.75
2020-09-30,655.34,14482.65
2020-10-01,690.78,15154.61
2020-10-02,668.2,12182.05
2020-10-03,660.31,12936.91
2020-10-04,621.62,10048.45
2020-10-05,662.0,14138.9
2020-10-06,663.59,13442.54
2020-10-07,707.29,13835.59
2020-10-08,700.44,13802.48
2020-10-09,703.69,13478.59
2020-10-10,679.11,11765.56
2020-10-11,625.09,8802.28
2020-10-12,690.28,13602.65
2020-10-13,659.71,12201.05
2020-10-14,685.48,12826.95
2020-10-15,716.06,13768.29
2020-10-16,676.8,12787.33
2020-10-17,697.41,12953.33
2020-10-18,641.64,9860.13
2020-10-19,686.15,13562.8
2020-10-20,676.48,13103.34
2020-10-21,688.79,13438.16
2020-10-22,657.31,12591.02
2020-10-23,665.35,12525.03
2020-10-24,638.52,10719.74
2020-10-25,566.26,7661.96
2020-10-26,633.45,11007.26
2020-10-27,648.1,11851.51
2020-10-28,645.16,12124.43
2020-10-29,664.37,13283.1
2020-10-30,671.68,12259.09
2020-10-31,725.07,14391.61
2020-11-01,719.36,11976.23
2020-11-02,772.71,16403.19
2020-11-03,765.2,15169.76
2020-11-04,762.26,15271.56
2020-11-05,726.68,13736.53
2020-11-06,775.2,14875.48
2020-11-07,780.74,14334.9
2020-11-08,772.49,11178.77
2020-11-09,748.79,14434.11
2020-11-10,837.68,15796.87
2020-11-11,809.79,16033.53
2020-11-12,818.7,16137.97
2020-11-13,793.01,15237.8
2020-11-14,739.7,10494.83
2020-11-15,663.59,8643.49
2020-11-16,725.27,11787.88
2020-11-17,762.78,13038.57
2020-11-18,768.4,13252.11
2020-11-19,751.04,12885.59
2020-11-20,754.39,12391.65
2020-11-21,725.52731,11426.8541908
2020-11-22,680.90251,9239.926593729
2020-11-23,725.318,13061.3162203
2020-11-24,663.51545,11841.288727624
2020-11-25,648.03129,11564.6733697
2020-11-26,669.09398,11676.499397102
2020-11-27,729.96046,13687.62233330301
2020-11-28,679.98757,11982.566192187
2020-11-29,641.00979,9651.968848662002
2020-11-30,691.16,13785.63
2020-12-01,716.24,15048.41
2020-12-02,692.08,14400.62
2020-12-03,634.55,12916.16
2020-12-04,761.09,16061.54
2020-12-05,776.24,16093.79
2020-12-06,706.27,11486.81
2020-12-07,755.12,15716.32
2020-12-08,574.97,9967.03
2020-12-09,791.01,16560.21
2020-12-10,763.53,15404.8
2020-12-11,750.49,14329.14
2020-12-12,711.02,12251.73
2020-12-13,684.78,10004.15
2020-12-14,724.92,14107.85
2020-12-15,744.48,14510.2
2020-12-16,700.36,12973.1
2020-12-17,737.96,14062.04
2020-12-18,731.5,13170.33
2020-12-19,738.81,12971.61
2020-12-20,694.92,10002.15
2020-12-21,740.09,14261.92
2020-12-22,735.6,13675.52
2020-12-23,739.01,13802.86
2020-12-24,739.72,13897.71
2020-12-25,702.45483,11018.978388966
2020-12-26,706.66956,11261.776881068
2020-12-27,647.91652,8703.109204828
2020-12-28,734.21,14095.93
2020-12-29,712.67,13676.88
2020-12-30,724.92,14315.01
2020-12-31,767.98,15428.54
2021-01-01,767.15,14291.54
2021-01-02,792.19,16441.23
2021-01-03,712.39,11999.27
2021-01-04,797.78,17216.59
2021-01-05,782.2,16391.11
2021-01-06,795.3,16315.32
2021-01-07,786.63,15903.99
2021-01-08,765.97,15067.11
2021-01-09,755.92,13575.18
2021-01-10,730.55,11442.15
2021-01-11,790.01,16385.67
2021-01-12,796.26,16106.04
2021-01-13,799.33,15247.81
2021-01-14,709.06,12055.99
2021-01-15,716.84,12896.46
2021-01-16,736.58,13098.51
2021-01-17,693.63,10040.86
2021-01-18,742.75,14349.75
2021-01-19,726.82,13969.89
2021-01-20,768.51,15105.77
2021-01-21,759.64,14635.65
2021-01-22,751.68,14181.12
2021-01-23,713.0,11968.34
2021-01-24,589.58,8051.95
2021-01-25,724.19,14185.07
2021-01-26,682.29,10407.76
2021-01-27,705.02,13936.0
2021-01-28,691.55,13304.92
2021-01-29,758.33,15526.32
2021-01-30,778.35,15636.1
2021-01-31,707.78,11448.43
2021-02-01,835.85,18468.88
2021-02-02,817.28,17017.33
2021-02-03,809.71,16419.83
2021-02-04,813.15,16525.55
2021-02-05,846.0,16576.05
2021-02-06,859.11,16381.84
2021-02-07,812.38,12158.01
2021-02-08,830.29,16526.49
2021-02-09,851.58,16665.88
2021-02-10,863.77,17089.0
2021-02-11,847.77,16136.53
2021-02-12,836.08,15632.23
2021-02-13,797.38,13406.04
2021-02-14,760.56,10714.19
2021-02-15,810.95,15853.05
2021-02-16,803.9,15074.43
2021-02-17,814.96,14883.53
2021-02-18,809.37,15014.25
2021-02-19,788.06,13981.94
2021-02-20,811.43,14406.39
2021-02-21,753.9,10512.08
2021-02-22,815.81,15458.36
2021-02-23,810.66,14883.16
2021-02-24,818.77,15108.13
2021-02-25,810.92,15282.2
2021-02-26,835.39,16838.18
2021-02-27,848.63,15541.31
2021-02-28,815.28,12507.9
2021-03-01,931.35,20137.82
2021-03-02,923.65,19359.29
2021-03-03,887.95,18133.93
2021-03-04,918.98,18836.35
2021-03-05,921.15,18226.84
2021-03-06,897.01,17171.99
2021-03-07,870.99,13251.52
2021-03-08,924.45,18178.63
2021-03-09,929.41,18159.23
2021-03-10,959.21,19087.27
2021-03-11,866.3,14920.18
2021-03-12,892.83,16750.51
2021-03-13,881.74,15106.81
2021-03-14,778.18,10795.13
2021-03-15,888.65,17078.68
2021-03-16,879.7,15014.8
2021-03-17,889.05,17307.19
2021-03-18,887.01,16791.68
2021-03-19,881.98,16549.78
2021-03-20,893.8,16114.6
2021-03-21,813.0,11625.59
2021-03-22,873.17,16846.96
2021-03-23,873.33,16338.27
2021-03-24,880.58,16911.96
2021-03-25,888.41,17301.18
2021-03-26,905.65,16867.73
2021-03-27,883.98,15316.88
2021-03-28,820.79,10761.31
2021-03-29,689.6,9607.64
2021-03-30,856.44,16167.59
2021-03-31,928.51,20169.11
2021-04-01,769.5,14169.04
2021-04-02,898.85,16537.44
2021-04-03,963.87,19547.72
2021-04-04,883.7,14296.25
2021-04-05,949.94,20006.52
2021-04-06,924.3,18445.55
2021-04-07,956.92,19190.78
2021-04-08,960.63,18638.51
2021-04-09,1004.67,18858.61
2021-04-10,930.11,16956.53
2021-04-11,855.49,12806.86
2021-04-12,1004.36,20461.95
2021-04-13,927.55,16563.22
2021-04-14,896.17,15217.21
2021-04-15,901.22,17662.85
2021-04-16,909.1,17173.74
2021-04-17,864.75,15764.69
2021-04-18,809.01,11456.18
2021-04-19,920.28,17808.09
2021-04-20,902.51,17153.95
2021-04-21,864.43,15185.21
2021-04-22,848.75,16262.77
2021-04-23,845.72,15809.46
2021-04-24,765.01,13210.5
2021-04-25,705.54,10166.47
2021-04-26,838.52,16495.37
2021-04-27,803.07,15635.89
2021-04-28,806.7,15920.58
2021-04-29,823.09,16046.25
2021-04-30,876.85,20215.49
2021-05-01,862.39,18140.21
2021-05-02,793.73,13692.47
2021-05-03,877.17,20191.07
2021-05-04,893.11,20005.02
2021-05-05,877.04,19438.15
2021-05-06,853.5,18425.68
2021-05-07,863.12,18247.77
2021-05-08,834.5,16365.41
2021-05-09,794.03,13425.59
2021-05-10,849.17,18772.21
2021-05-11,900.09,18267.37
2021-05-12,857.68,17402.93
2021-05-13,851.7,16038.79
2021-05-14,811.67,14038.22
2021-05-15,805.25,14824.99
2021-05-16,712.83,10804.95
2021-05-17,800.15,15977.6
2021-05-18,803.01,15314.82
2021-05-19,803.03,15542.35
2021-05-20,793.42,15265.44
2021-05-21,797.68,14967.99
2021-05-22,772.38,13312.11
2021-05-23,756.08,11237.42
2021-05-24,800.3,15851.67
2021-05-25,799.33,15027.36
2021-05-26,682.56,12817.62
2021-05-27,775.33,14644.79
2021-05-28,802.27,14803.08
2021-05-29,793.03,14114.81
2021-05-30,769.66,11414.94
2021-05-31,906.61,20732.78
2021-06-01,978.07,21837.51
2021-06-02,981.37,20668.35
2021-06-03,928.0,19629.84
2021-06-04,908.24,18987.07
2021-06-05,921.2,18465.68
2021-06-06,850.62,13881.64
2021-06-07,958.53,20566.61
2021-06-08,959.49,19555.25
2021-06-09,959.32,19616.4
2021-06-10,960.68,19826.78
2021-06-11,948.41,19013.39
2021-06-12,914.84,16646.22
2021-06-13,851.65,12899.97
2021-06-14,973.72,20359.99
2021-06-15,968.59,19631.73
2021-06-16,958.88,19341.99
2021-06-17,914.54,17975.02
2021-06-18,968.15,18847.37
2021-06-19,923.37,16946.72
2021-06-20,861.58,12949.17
2021-06-21,967.74,19694.06
2021-06-22,937.82,18529.74
2021-06-23,886.08,16920.82
2021-06-24,901.21,17171.85
2021-06-25,935.25,17648.46
2021-06-26,923.18,15638.86
2021-06-27,853.53,11945.99
2021-06-28,957.51,19199.12
2021-06-29,971.64,19122.24
2021-06-30,1051.95,23855.32
2021-07-01,1052.35,23416.77
2021-07-02,1081.5,22773.32
2021-07-03,1044.52,20784.0
2021-07-04,979.48,16400.08
2021-07-05,1092.2,23601.76
2021-07-06,1027.63,21426.67
2021-07-07,1150.0,23158.49
2021-07-08,953.67,19593.6
2021-07-09,1151.69,22376.23
2021-07-10,922.12554,17381.762850373
2021-07-11,935.44,14528.9
2021-07-12,924.29,17865.05
2021-07-13,1419.22,26954.63
2021-07-14,1009.17293,19870.942514787
2021-07-15,1063.64,21013.1
2021-07-16,1159.32,21440.28
2021-07-17,1030.17,18400.77
2021-07-18,915.12,12743.31
2021-07-19,1049.52,20635.1
2021-07-20,1078.12,20476.24
2021-07-21,954.91,15421.19
2021-07-22,822.07078,15711.846838088
2021-07-23,1172.6,19889.5
2021-07-24,978.07,15607.17
2021-07-25,967.95,12927.13
2021-07-26,1051.06,19885.25
2021-07-27,1040.66,19262.96
2021-07-28,1056.26,19325.52
2021-07-29,1044.44,19154.18
2021-07-30,1117.52,21272.89
2021-07-31,1210.3,22584.56
2021-08-01,1139.83,17991.95
2021-08-02,1202.32,25029.23
2021-08-03,1200.77,23649.82
2021-08-04,1191.28,24030.66
2021-08-05,1183.4,23718.76
2021-08-06,1105.22,21095.72
2021-08-07,1222.45,22910.2
2021-08-08,1127.74,16658.61
2021-08-09,1235.1,24086.79
2021-08-10,1247.03,24240.48
2021-08-11,1218.33,23627.85
2021-08-12,1187.33,22704.03
2021-08-13,1152.84,20953.57
2021-08-14,1147.81,19317.55
2021-08-15,1062.92,14679.03
2021-08-16,1137.05,21637.92
2021-08-17,1145.32,21311.21
2021-08-18,1141.79,21660.34
2021-08-19,1148.7,20696.02
2021-08-20,1115.08,18706.14
2021-08-21,1173.5,19530.45
2021-08-22,1060.53,13242.53
2021-08-23,1085.96,19805.16
2021-08-24,1097.23,19853.25
2021-08-25,1139.74,20927.52
2021-08-26,1113.96,19824.58
2021-08-27,1106.01,19367.36
2021-08-28,1108.1,18119.46
2021-08-29,1067.33,14334.35
2021-08-30,1091.65,19281.64
2021-08-31,1199.13,26124.77
2021-09-01,1261.06,27148.4
2021-09-02,1276.66,26154.15
2021-09-03,1245.0,23910.41
2021-09-04,1237.38,23834.31
2021-09-05,1088.95,16861.66
2021-09-06,1221.17,24922.42
2021-09-07,1139.79,21864.83
2021-09-08,1264.05,24634.77
2021-09-09,1284.19,24770.65
2021-09-10,1209.37,21030.37
2021-09-11,1178.8,20129.85
2021-09-12,1136.16,15950.87
2021-09-13,1205.56,23212.04
2021-09-14,1214.27,22629.21
2021-09-15,1239.98,23442.74
2021-09-16,1201.65,22094.58
2021-09-17,1172.23,19888.28
2021-09-18,1238.49,20854.06
2021-09-19,1181.92,15698.53
2021-09-20,1252.69,23232.53
2021-09-21,1230.81,22157.2
2021-09-22,1237.91,21821.81
2021-09-23,1232.23,21377.26
2021-09-24,1236.65,20872.26
2021-09-25,1220.15,19085.04
2021-09-26,1168.2,14906.16
2021-09-27,1199.04,20756.07
2021-09-28,1208.82,21099.09
2021-09-29,1223.77,21981.12
2021-09-30,1351.22,28327.61
2021-10-01,1377.7,28370.06
2021-10-02,1391.13,25337.11
2021-10-03,1372.67,21845.73
2021-10-04,1393.85,29292.41
2021-10-05,1429.94,29189.41
2021-10-06,1371.62,26288.98
2021-10-07,1444.68,28676.31
2021-10-08,1421.83,27623.49
2021-10-09,1346.3,24747.41
2021-10-10,1359.89,21201.45
2021-10-11,1378.29,28260.91
2021-10-12,1388.67,27223.76
2021-10-13,1376.47,26037.62
2021-10-14,1334.18,24029.6
2021-10-15,1268.71,18158.34
2021-10-16,1285.28,22054.06
2021-10-17,1185.11,16615.55
2021-10-18,1347.86,25795.4
2021-10-19,1309.54,23136.67
2021-10-20,1348.32,24614.57
2021-10-21,1330.33,24809.26
2021-10-22,1360.7,24402.71
2021-10-23,1343.99,21969.69
2021-10-24,1294.21,16990.59
2021-10-25,1331.98,25923.01
2021-10-26,1350.28,25081.49
2021-10-27,1341.27,25168.12
2021-10-28,1361.27,26359.34
2021-10-29,1391.84,27747.43
2021-10-30,1477.09,29919.39
2021-10-31,1469.32,24537.12
2021-11-01,1587.65,36035.24
2021-11-02,1643.75,34915.78
2021-11-03,1647.69,34613.47
2021-11-04,1434.81,23307.44
2021-11-05,1326.01,22719.01
2021-11-06,1362.53,24416.19
2021-11-07,1309.27,20543.84
2021-11-08,1423.44,28222.58
2021-11-09,1379.06,27462.69
2021-11-10,1403.76,27572.23
2021-11-11,1369.69,26145.08
2021-11-12,1363.32,25519.53
2021-11-13,1377.09,23325.29
2021-11-14,1344.94,18867.22
2021-11-15,1373.07,27088.45
2021-11-16,1381.59,27011.12
2021-11-17,1393.78,25755.18
2021-11-18,1348.21,25291.94
2021-11-19,1339.07,21545.81
2021-11-20,1387.15,24225.89
2021-11-21,1313.9,18070.98
2021-11-22,1338.5,25248.75
2021-11-23,1388.53,25616.77
2021-11-24,1374.03,25221.2
2021-11-25,1392.49,25459.92
2021-11-26,1375.68,25509.28
2021-11-27,1342.41,22251.27
2021-11-28,1296.28,17817.14
2021-11-29,1369.41,26386.44
2021-11-30,1477.69,32270.36
2021-12-01,1531.04,33487.99
2021-12-02,1524.3,31446.32
2021-12-03,1480.12,28800.98
2021-12-04,1542.54,29534.27
2021-12-05,1478.36,23634.62
2021-12-06,1488.74,30143.74
2021-12-07,1535.97,30111.47
2021-12-08,1510.03,28889.73
2021-12-09,1452.73,27977.02
2021-12-10,1382.76,25540.08
2021-12-11,1450.98,25827.58
2021-12-12,1392.11,20023.23
2021-12-13,1407.12,26943.56
2021-12-14,1484.81,28016.55
2021-12-15,1512.54,28838.73
2021-12-16,1456.96,26447.76
2021-12-17,1461.15,24999.17
2021-12-18,1451.23,24668.99
2021-12-19,1402.14,19087.16
2021-12-20,1489.36,29184.65
2021-12-21,1467.81,27086.37
2021-12-22,1489.94,26892.86
2021-12-23,1494.64,26454.72
2021-12-24,1491.2,25817.61
2021-12-25,1448.92,22122.87
2021-12-26,1357.26,17623.74
2021-12-27,1436.37,26037.07
2021-12-28,1445.59,26113.2
2021-12-29,1420.78,25271.47
2021-12-30,1491.52,27540.86
2021-12-31,1683.97,32283.86
2022-01-01,1585.27,27278.48
2022-01-02,1531.66,24750.74
2022-01-03,1614.87,32979.67
2022-01-04,1595.01,32214.37
2022-01-05,1591.71,31730.45
2022-01-06,1589.44,30771.67
2022-01-07,1621.33,30569.5
2022-01-08,1547.07,26520.13
2022-01-09,1212.96,18265.68
2022-01-10,1650.53,33273.67
2022-01-11,1563.23,30052.59
2022-01-12,1590.55,30181.55
2022-01-13,1565.06,28747.57
2022-01-14,1445.09,23852.4
2022-01-15,1378.0,21970.51
2022-01-16,1311.22,18000.91
2022-01-17,1487.62,27641.24
2022-01-18,1465.03,26732.97
2022-01-19,1501.62,27400.76
2022-01-20,1459.3,27092.83
2022-01-21,1477.4,26652.65
2022-01-22,1422.39,23272.13
2022-01-23,1317.35,17525.56
2022-01-24,1450.3,28414.48
2022-01-25,1460.12,27920.07
2022-01-26,1404.28,21232.52
2022-01-27,1437.6,27360.06
2022-01-28,1454.86,26942.28
2022-01-29,1390.55,24872.5
2022-01-30,1437.84,21176.51
2022-01-31,1612.3,36596.64
2022-02-01,1727.27,38167.32
2022-02-02,1666.46,34757.09
2022-02-03,1646.71,33265.3
2022-02-04,1622.84,32036.03
2022-02-05,1655.22,31339.7
2022-02-06,1549.3,23445.48
2022-02-07,1664.91,33670.85
2022-02-08,1667.98,32682.18
2022-02-09,1718.83,32468.47
2022-02-10,1646.32,31703.55
2022-02-11,1665.02,30697.0
2022-02-12,1632.81,27942.54
2022-02-13,1588.4,22271.87
2022-02-14,1675.9,32609.4
2022-02-15,1649.61,31888.77
2022-02-16,1653.18,30212.49
2022-02-17,1599.93,29053.85
2022-02-18,1610.88,27226.8
2022-02-19,1558.32,25778.25
2022-02-20,1549.44,21128.33
2022-02-21,1578.14,29480.41
2022-02-22,1474.01,27023.99
2022-02-23,1421.16,24444.21
2022-02-24,1679.23,32003.16
2022-02-25,1599.27,29271.51
2022-02-26,1606.8,26149.22
2022-02-27,1572.88,21228.83
2022-02-28,1594.07,34896.42
2022-03-01,1711.64,33758.22
2022-03-02,1794.57,37033.35
2022-03-03,1794.51,36252.3
2022-03-04,1779.04,35210.29
2022-03-05,1840.21,35370.65
2022-03-06,1725.69,26113.76
2022-03-07,1817.79,37285.22
2022-03-08,1793.65,34545.89
2022-03-09,1808.25,34882.05
2022-03-10,1815.4,34890.75
2022-03-11,1783.45,32377.05
2022-03-12,1765.19,29318.33
2022-03-13,1704.03,23152.81
2022-03-14,1774.35,33957.67
2022-03-15,1766.92,33340.64
2022-03-16,1804.56,33221.88
2022-03-17,1807.54,31166.73
2022-03-18,1489.27,18869.04
2022-03-19,1644.78,25247.27
2022-03-20,1588.62,21237.31
2022-03-21,1722.99,31841.8
2022-03-22,1673.03,29566.9
2022-03-23,1698.64,29859.79
2022-03-24,1695.82,29588.27
2022-03-25,1709.3,29741.97
2022-03-26,1760.5,27909.08
2022-03-27,1708.97,21937.12
2022-03-28,1713.71,30755.25
2022-03-29,1716.2,29737.75
2022-03-30,1771.98,33222.54
2022-03-31,1875.91,39189.99
2022-04-01,1759.96,31501.34
2022-04-02,1904.37,34305.57
2022-04-03,1816.66,28996.32
2022-04-04,1932.97,41530.22
2022-04-05,1934.18,39370.19
2022-04-06,1892.45,37401.11
2022-04-07,1924.91,37184.6
2022-04-08,1915.95,35133.63
2022-04-09,1963.77,33429.07
2022-04-10,1829.57,26380.29
2022-04-11,1920.92,37147.71
2022-04-12,1934.32,36141.16
2022-04-13,1959.35,35735.22
2022-04-14,1854.34,30183.26
2022-04-15,1807.44,28138.64
